Tijd,Versnelling 1,Versnelling 2
0.0002160043200864017,1.1228564930666141e-11,0.0
0.00021660433208664173,1.1299986525657586e-11,0.0
0.00021720434408688168,1.1371854224643914e-11,0.0
0.0002178043560871217,1.1444170760248724e-11,0.0
0.00021840436808736173,1.1516938882849041e-11,0.0
0.0002190043800876017,1.1590161358937615e-11,0.0
0.00021960439208784172,1.1663840970574816e-11,0.0
0.00022020440408808176,1.1737980518235047e-11,0.0
0.0002208044160883217,1.1812582818128446e-11,0.0
0.00022140442808856172,1.1887650702911892e-11,0.0
0.00022200444008880176,1.196318702371612e-11,0.0
0.00022260445208904177,1.2039194647816568e-11,0.0
0.00022320446408928175,1.2115676459480405e-11,0.0
0.00022380447608952176,1.2192635360520994e-11,0.0
0.00022440448808976177,1.2270074270736162e-11,0.0
0.00022500450009000175,1.2347996126820158e-11,0.0
0.00022560451209024176,1.2426403882641332e-11,0.0
0.00022620452409048177,1.2505300510912947e-11,0.0
0.0002268045360907218,1.2584689001420677e-11,0.0
0.0002274045480909618,1.2664572361944613e-11,0.0
0.00022800456009120185,1.2744953618176518e-11,0.0
0.0002286045720914418,1.2825835814790545e-11,0.0
0.0002292045840916818,1.2907222012681695e-11,0.0
0.00022980459609192185,1.2989115293857543e-11,0.0
0.00023040460809216183,1.307151875667878e-11,0.0
0.00023100462009240184,1.3154435518573018e-11,0.0
0.00023160463209264185,1.3237868715984273e-11,0.0
0.00023220464409288183,1.3321821504165207e-11,0.0
0.00023280465609312184,1.3406297056231712e-11,0.0
0.00023340466809336185,1.3491298566109078e-11,0.0
0.00023400468009360183,1.3576829245100042e-11,0.0
0.00023460469209384184,1.3662892324322603e-11,0.0
0.00023520470409408187,1.3749491054765203e-11,0.0
0.00023580471609432188,1.3836628706504399e-11,0.0
0.00023640472809456184,1.39243085685692e-11,0.0
0.00023700474009480187,1.4012533949987254e-11,0.0
0.00023760475209504188,1.4101308180746742e-11,0.0
0.0002382047640952819,1.4190634609048023e-11,0.0
0.00023880477609552193,1.4280516603782717e-11,0.0
0.0002394047880957619,1.4370957554362581e-11,0.0
0.00024000480009600192,1.4461960869776961e-11,0.0
0.00024060481209624193,1.45535299795527e-11,0.0
0.0002412048240964819,1.464566833490696e-11,0.0
0.00024180483609672192,1.4738379404890047e-11,0.0
0.00024240484809696195,1.4831666682530538e-11,0.0
0.00024300486009720196,1.4925533679708472e-11,0.0
0.00024360487209744197,1.501998392950534e-11,0.0
0.000244204884097682,1.5115020986479652e-11,0.0
0.00024480489609792194,1.5210648426837194e-11,0.0
0.00024540490809816194,1.5306869846069126e-11,0.0
0.00024600492009840195,1.5403688864681246e-11,0.0
0.000246604932098642,1.5501109121191655e-11,0.0
0.000247204944098882,1.5599134278452424e-11,0.0
0.000247804956099122,1.5697768019202984e-11,0.0
0.000248404968099362,1.5797014048957642e-11,0.0
0.000249004980099602,1.5896876096722715e-11,0.0
0.000249604992099842,1.599735791096229e-11,0.0
0.000250205004100082,1.6098463265084176e-11,0.0
0.000250805016100322,1.6200195953052152e-11,0.0
0.000251405028100562,1.6302559793020436e-11,0.0
0.000252005040100802,1.640555862385604e-11,0.0
0.000252605052101042,1.6509196310602776e-11,0.0
0.000253205064101282,1.661347673763513e-11,0.0
0.000253805076101522,1.6718403815085843e-11,0.0
0.000254405088101762,1.6823981475071453e-11,0.0
0.00025500510010200203,1.6930213673615107e-11,0.0
0.00025560511210224204,1.7037104390478604e-11,0.0
0.00025620512410248205,1.7144657628560238e-11,0.0
0.00025680513610272206,1.7252877414898287e-11,0.0
0.000257405148102962,1.7361767801172498e-11,0.0
0.000258005160103202,1.7471332860969472e-11,0.0
0.00025860517210344203,1.7581576695607546e-11,0.0
0.00025920518410368204,1.7692503427692672e-11,0.0
0.00025980519610392205,1.7804117205863923e-11,0.0
0.00026040520810416206,1.791642220320275e-11,0.0
0.00026100522010440207,1.8029422617133034e-11,0.0
0.0002616052321046421,1.814312267129134e-11,0.0
